2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
2017-04-08,FSIDVDU:SP,1.2044
